
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1990","--","--","--","--","--","--","26.0","25.7","24.6","21.3","19.2","15.6","22.1"
"1991","13.7","13.7","17.7","20.0","23.3","25.4","26.2","26.1","24.5","20.5","17.8","15.3","20.3"
"1992","12.6","12.8","16.6","20.0","21.4","24.4","25.8","26.1","24.4","19.9","17.1","16.0","19.8"
"1993","11.9","15.1","16.0","19.4","23.0","25.7","26.6","26.0","24.3","21.2","19.7","14.9","20.3"
"1994","13.8","14.4","14.3","21.9","23.6","25.6","25.9","25.4","23.2","20.8","19.2","17.7","20.5"
"1995","12.9","12.0","15.3","20.5","22.4","25.7","25.9","25.4","24.6","22.3","17.4","13.8","19.9"
"1996","13.6","12.5","16.6","16.7","21.7","26.0","26.6","25.9","25.1","22.0","19.6","14.5","20.1"
"1997","13.0","13.4","17.0","20.3","23.4","24.2","25.6","25.6","23.4","21.8","19.2","15.9","20.2"
"1998","14.0","14.6","17.1","22.2","24.1","25.5","27.2","26.9","24.4","22.5","20.1","16.7","21.3"
"1999","14.3","14.3","17.5","20.7","21.8","25.7","25.9","25.6","25.1","22.8","19.1","14.2","20.6"
"2000","14.1","13.5","16.1","19.8","23.1","25.4","26.2","25.4","24.1","23.1","19.6","16.7","20.6"
"2001","14.5","15.1","17.1","19.5","23.5","25.6","25.9","26.6","24.0","21.5","17.3","15.3","20.5"
"2002","13.6","14.9","18.7","21.8","24.0","26.2","26.2","26.3","24.3","22.2","18.1","15.9","21.0"
"2003","12.9","15.3","16.1","21.3","23.2","24.8","27.3","26.4","25.3","21.8","19.9","14.4","20.7"
"2004","12.7","14.7","15.4","19.9","24.2","25.1","25.7","25.8","24.1","19.9","19.0","15.9","20.2"
"2005","12.6","13.6","14.5","20.7","24.3","25.3","26.2","25.6","25.1","21.9","19.7","13.2","20.2"
"2006","14.3","14.4","15.9","21.0","22.9","24.9","26.5","26.0","24.0","22.2","19.7","15.5","20.6"
"2007","13.6","15.9","17.4","18.8","23.6","25.2","27.1","25.5","24.9","21.5","17.7","15.7","20.6"
"2008","13.9","10.7","16.2","20.4","22.4","25.1","25.6","26.0","24.8","23.1","18.4","14.6","20.1"
"2009","12.0","17.5","16.0","18.5","22.0","24.7","26.1","25.6","25.9","21.8","18.3","14.0","20.2"
"2010","13.7","15.3","17.3","18.3","22.8","24.0","26.4","26.0","24.9","21.7","17.8","14.2","20.2"
"2011","10.7","12.6","--","--","--","--","--","--","--","--","21.3","15.0","14.9"
"2012","13.8","14.0","17.0","22.4","24.6","26.0","27.6","26.6","25.0","22.0","19.8","15.6","21.2"
"2013","13.4","15.7","17.6","19.4","24.0","26.4","26.1","26.0","24.7","21.5","18.6","13.5","20.6"
"2014","13.4","13.5","16.3","20.3","23.6","26.0","27.5","26.9","26.7","22.2","20.1","13.8","20.9"
"2015","14.1","15.1","17.4","21.2","24.9","28.0","27.1","25.9","24.9","22.8","21.2","16.3","21.6"
"2016","13.7","12.9","15.3","22.5","25.0","27.0","28.0","26.9","25.6","24.9","20.7","17.9","21.7"
"2017","16.3","15.0","16.8","20.6","23.9","26.3","27.1","27.7","27.0","23.4","20.0","15.2","21.6"
"2018","14.2","13.0","17.8","21.0","25.5","25.9","26.8","26.2","25.3","21.2","20.2","17.4","21.2"
"2019","15.8","16.9","17.9","21.9","22.5","26.2","27.3","26.3","24.7","22.6","19.4","16.2","21.5"
"2020","--","--","--","--","--","--","--","--","--","--","--","--","--"
"平均","13.6","14.2","16.6","20.4","23.4","25.6","26.5","26.1","24.8","21.9","19.2","15.4","平均"
